Zone,Consommation-Personnelle (kg/pers/an),Production-Totale,Importations-Totale,Exportations-Totale,Consommation-Totale,Disponibilité-Intérieure-Totale,Production-Poulet,Importations-Poulet,Exportations-Poulet,Consommation-Poulet,Disponibilité-Intérieure-Poulet,Nbre habitant,Évolution-pop (% en 2007-2017),Stabilité-Politique,PIB/habitant ($)
Afghanistan,357310000.0,11609000000.0,4555000000.0,601000000.0,12968000000.0,15139000000.0,28000000.0,29000000.0,-1530000.0,55000000.0,57000000.0,36296113.0,33.93,-0.04,2096.1
Afrique du Sud,556420000.0,68455000000.0,9020000000.0,10968000000.0,31726000000.0,66840000000.0,70000000.0,16000000.0,1000000.0,99500000.0,100000000.0,57009756.0,16.06,-0.28,13950.5
Albanie,1260490000.0,4231000000.0,884000000.0,156000000.0,3631000000.0,4879000000.0,13000000.0,38000000.0,0.0,47000000.0,47000000.0,2884169.0,-4.94,0.38,12771.0
Algérie,798710000.0,26763000000.0,2665000000.0,743000000.0,33056000000.0,45365000000.0,275000000.0,2000000.0,0.0,264000000.0,277000000.0,41389189.0,21.14,-0.92,11809.5
Allemagne,943240000.0,10716000000.0,2665000000.0,852500000.0,6142500000.0,11936500000.0,70000000.0,16000000.0,1000000.0,99500000.0,100000000.0,9757833.0,1.7,0.59,53071.5
Angola,570950000.0,28523000000.0,4153000000.0,60000000.0,17025000000.0,32210000000.0,42000000.0,16000000.0,0.0,315000000.0,319000000.0,29816766.0,42.63,-0.38,7216.1
Antigua-et-Barbuda,632980000.0,23000000.0,71000000.0,0.0,59000000.0,84000000.0,0.0,7000000.0,0.0,5000000.0,7000000.0,95426.0,13.57,0.75,20777.9
Arabie saoudite,546350000.0,9037000000.0,2665000000.0,2241000000.0,18086000000.0,32403000000.0,616000000.0,16000000.0,10000000.0,99500000.0,100000000.0,33101178.0,31.43,-0.64,45795.5
Argentine,776640000.0,10716000000.0,3391000000.0,852500000.0,34126000000.0,11936500000.0,70000000.0,8000000.0,1000000.0,99500000.0,100000000.0,43937140.0,10.72,0.17,23597.1
Arménie,1006410000.0,3708000000.0,846000000.0,244000000.0,2962000000.0,4383000000.0,11000000.0,35000000.0,0.0,47000000.0,47000000.0,2944791.0,0.42,-0.62,12509.6
Australie,906770000.0,10716000000.0,6439000000.0,852500000.0,22296000000.0,77921000000.0,70000000.0,16000000.0,1000000.0,99500000.0,100000000.0,24584620.0,17.54,0.9,48400.2
Autriche,931630000.0,17570000000.0,9485000000.0,7823000000.0,8216000000.0,19204000000.0,148000000.0,110000000.0,1000000.0,160000000.0,173000000.0,8819901.0,6.09,1.05,54173.0
Azerbaïdjan,792070000.0,10673000000.0,2674000000.0,681000000.0,7799000000.0,12521000000.0,104000000.0,27000000.0,0.0,129000000.0,129000000.0,9845320.0,12.85,-0.75,14121.4
Bahamas,565500000.0,182000000.0,187000000.0,9000000.0,215000000.0,342000000.0,6000000.0,24000000.0,1000000.0,16000000.0,26000000.0,381755.0,13.15,0.99,34357.3
Bangladesh,481900000.0,10716000000.0,2665000000.0,269000000.0,6142500000.0,11936500000.0,249000000.0,0.0,-2500000.0,240000000.0,250000000.0,9757833.0,11.93,-1.26,4830.8
Barbade,610410000.0,219000000.0,239000000.0,55000000.0,171000000.0,407000000.0,15000000.0,2000000.0,0.0,13000000.0,17000000.0,286232.0,2.7,0.97,16199.0
Belgique,1015740000.0,27757000000.0,2665000000.0,852500000.0,11603000000.0,32221000000.0,463000000.0,16000000.0,1000000.0,144000000.0,152000000.0,11419748.0,6.75,0.43,50442.3
Belize,588820000.0,2348000000.0,92000000.0,484000000.0,218000000.0,1917000000.0,20000000.0,0.0,0.0,10000000.0,19000000.0,375769.0,25.66,0.04,8873.8
Bolivie (État plurinational de),556840000.0,20455000000.0,1151000000.0,741000000.0,6233000000.0,28387000000.0,533000000.0,1000000.0,1000000.0,403000000.0,429000000.0,11192855.0,17.1,-0.28,8244.9
Bosnie-Herzégovine,991650000.0,3628000000.0,2251000000.0,678000000.0,3321000000.0,5402000000.0,61000000.0,10000000.0,8000000.0,56000000.0,55000000.0,3351525.0,-10.93,-0.35,13400.0
Botswana,535010000.0,687000000.0,929000000.0,48000000.0,1176000000.0,1424000000.0,5000000.0,3000000.0,0.0,7000000.0,7000000.0,2205080.0,17.58,1.02,14656.8
Brésil,770490000.0,10716000000.0,17660000000.0,852500000.0,6142500000.0,11936500000.0,70000000.0,3000000.0,1000000.0,99500000.0,100000000.0,9757833.0,9.31,-0.47,14477.9
Bulgarie,727430000.0,16593000000.0,3172000000.0,8536000000.0,5168000000.0,10417000000.0,107000000.0,108000000.0,1000000.0,157000000.0,157000000.0,7102444.0,-6.26,0.33,21470.0
Burkina Faso,498780000.0,10781000000.0,883000000.0,296000000.0,9577000000.0,11909000000.0,46000000.0,0.0,-2270000.0,44000000.0,46000000.0,19193234.0,34.67,-0.93,1978.2
Bélarus,972220000.0,33634000000.0,3858000000.0,7500000000.0,9188000000.0,29007000000.0,463000000.0,21000000.0,1000000.0,264000000.0,265000000.0,9450231.0,-0.32,-0.05,18356.1
Bénin,717390000.0,13676000000.0,3725000000.0,278000000.0,8012000000.0,16363000000.0,18000000.0,123000000.0,0.0,161000000.0,161000000.0,11175198.0,32.18,0.03,2933.8
Cabo Verde,523680000.0,150000000.0,262000000.0,29000000.0,279000000.0,396000000.0,1000000.0,12000000.0,-10620000.0,9000000.0,10000000.0,537498.0,13.14,0.77,6320.3
Cambodge,503780000.0,25990000000.0,1493000000.0,2248000000.0,8067000000.0,24462000000.0,28000000.0,10000000.0,-2340000.0,37000000.0,38000000.0,16009409.0,17.03,0.09,3972.7
Cameroun,683770000.0,32825000000.0,2418000000.0,664000000.0,16797000000.0,32643000000.0,81000000.0,0.0,0.0,78000000.0,82000000.0,24566073.0,31.16,-1.1,3691.1
Canada,923860000.0,10716000000.0,2665000000.0,852500000.0,33945000000.0,11936500000.0,70000000.0,182000000.0,1000000.0,99500000.0,100000000.0,36732095.0,11.54,1.1,48317.2
Chili,676160000.0,25580000000.0,7055000000.0,8736000000.0,12486000000.0,23672000000.0,712000000.0,155000000.0,1000000.0,672000000.0,672000000.0,18470439.0,11.74,0.42,24546.9
Chine - RAS de Hong-Kong,776030000.0,444000000.0,9647000000.0,3609000000.0,5671000000.0,6345000000.0,24000000.0,16000000.0,1000000.0,391000000.0,280000000.0,7306322.0,6.82,0.83,59842.2
Chine - RAS de Macao,726130000.0,21000000.0,489000000.0,10000000.0,449000000.0,445000000.0,3000000.0,23000000.0,0.0,21000000.0,19000000.0,622585.0,23.4,1.43,13584.2
"Chine, Taiwan Province de",640370000.0,13170000000.0,14429000000.0,1669000000.0,15162000000.0,25365000000.0,652000000.0,161000000.0,8000000.0,785000000.0,785000000.0,23674546.0,3.26,-0.04,13584.2
"Chine, continentale",968520000.0,10716000000.0,2665000000.0,852500000.0,6142500000.0,11936500000.0,70000000.0,16000000.0,1000000.0,99500000.0,100000000.0,9757833.0,5.57,-0.04,13584.2
Chypre,684720000.0,850000000.0,1115000000.0,387000000.0,804000000.0,1513000000.0,25000000.0,14000000.0,1000000.0,30000000.0,38000000.0,1179678.0,10.9,0.54,38415.1
Colombie,786420000.0,10716000000.0,11384000000.0,4803000000.0,38460000000.0,11936500000.0,70000000.0,78000000.0,2000000.0,99500000.0,100000000.0,48909839.0,11.83,-0.77,14334.9
Congo,612610000.0,3494000000.0,752000000.0,9000000.0,3128000000.0,4259000000.0,7000000.0,104000000.0,0.0,110000000.0,110000000.0,5110695.0,31.85,-0.53,4073.9
Costa Rica,693110000.0,15285000000.0,2669000000.0,7413000000.0,3431000000.0,10447000000.0,133000000.0,17000000.0,3000000.0,131000000.0,134000000.0,4949954.0,12.38,0.61,20168.2
Croatie,1018840000.0,7723000000.0,2726000000.0,2503000000.0,4262000000.0,7776000000.0,61000000.0,24000000.0,17000000.0,45000000.0,45000000.0,4182857.0,-4.12,0.69,27207.0
Cuba,844620000.0,30667000000.0,4582000000.0,1227000000.0,9575000000.0,33585000000.0,29000000.0,16000000.0,1000000.0,269000000.0,342000000.0,11339254.0,0.78,0.65,13584.2
Côte d'Ivoire,645700000.0,28622000000.0,4124000000.0,3185000000.0,15783000000.0,25557000000.0,58000000.0,7000000.0,0.0,62000000.0,65000000.0,24437470.0,27.47,-1.09,4750.9
Danemark,962040000.0,26176000000.0,7184000000.0,12582000000.0,5515000000.0,20070000000.0,173000000.0,133000000.0,1000000.0,166000000.0,167000000.0,5732274.0,4.8,0.87,55356.7
Djibouti,431320000.0,83000000.0,1497000000.0,191000000.0,403000000.0,1347000000.0,69500000.0,3000000.0,1000000.0,3000000.0,3000000.0,944099.0,17.21,-0.74,4451.7
Dominique,988870000.0,125000000.0,26000000.0,2000000.0,69000000.0,149000000.0,0.0,4000000.0,0.0,3000000.0,4000000.0,71458.0,0.94,1.2,11511.6
El Salvador,579310000.0,10759000000.0,2717000000.0,1218000000.0,3701000000.0,12559000000.0,136000000.0,16000000.0,2000000.0,131000000.0,131000000.0,6388126.0,4.62,-0.26,8617.9
Espagne,937620000.0,10716000000.0,2665000000.0,852500000.0,6142500000.0,11936500000.0,70000000.0,16000000.0,1000000.0,99500000.0,100000000.0,46647428.0,2.68,0.28,39528.9
Estonie,1032490000.0,2911000000.0,943000000.0,1875000000.0,1361000000.0,2007000000.0,20000000.0,21000000.0,11000000.0,28000000.0,29000000.0,1319390.0,-1.85,0.65,33821.9
Eswatini,532390000.0,7195000000.0,446000000.0,784000000.0,596000000.0,6790000000.0,6000000.0,2000000.0,0.0,7000000.0,7000000.0,1124805.0,7.88,-0.27,8213.9
Fidji,730700000.0,2312000000.0,384000000.0,258000000.0,636000000.0,2415000000.0,23000000.0,3000000.0,0.0,25000000.0,26000000.0,877459.0,4.94,0.62,12822.0
Finlande,1098240000.0,8703000000.0,3007000000.0,1934000000.0,6052000000.0,10154000000.0,129000000.0,16000000.0,12000000.0,103000000.0,111000000.0,5511371.0,4.03,1.08,47570.1
France,943520000.0,10716000000.0,2665000000.0,852500000.0,6142500000.0,11936500000.0,70000000.0,16000000.0,1000000.0,99500000.0,100000000.0,64842509.0,4.81,0.28,44577.1
Fédération de Russie,887100000.0,10716000000.0,2665000000.0,852500000.0,6142500000.0,11936500000.0,70000000.0,16000000.0,1000000.0,99500000.0,100000000.0,9757833.0,1.58,-0.64,25926.4
Gabon,684950000.0,1688000000.0,514000000.0,7000000.0,1412000000.0,2238000000.0,4000000.0,76000000.0,0.0,61000000.0,78000000.0,2064822.0,40.22,-0.1,14478.1
Gambie,350970000.0,614000000.0,609000000.0,22000000.0,776000000.0,1145000000.0,2000000.0,16000000.0,16470000.0,8000000.0,8000000.0,2213889.0,35.01,-0.08,1927.0
Ghana,850780000.0,44045000000.0,4557000000.0,1526000000.0,24776000000.0,46468000000.0,60000000.0,151000000.0,0.0,211000000.0,211000000.0,29121465.0,26.81,0.09,4929.6
Grenade,525110000.0,49000000.0,47000000.0,10000000.0,54000000.0,87000000.0,1000000.0,7000000.0,1000000.0,5000000.0,8000000.0,110874.0,5.4,1.01,14870.0
Grèce,947290000.0,18303000000.0,7840000000.0,4812000000.0,10016000000.0,20911000000.0,246000000.0,79000000.0,29000000.0,162000000.0,178000000.0,10569450.0,-4.95,-0.07,28604.9
Guatemala,459600000.0,52433000000.0,3232000000.0,7582000000.0,7771000000.0,44407000000.0,235000000.0,129000000.0,7000000.0,348000000.0,357000000.0,16914970.0,23.46,-0.65,8322.2
Guinée,564370000.0,9993000000.0,1604000000.0,171000000.0,6810000000.0,10905000000.0,13000000.0,37000000.0,-4080000.0,49000000.0,50000000.0,12067519.0,26.78,-0.7,2383.6
Guinée-Bissau,390170000.0,982000000.0,268000000.0,118000000.0,709000000.0,1031000000.0,3000000.0,4000000.0,3840000.0,4000000.0,4000000.0,1828145.0,29.51,-0.5,1872.3
Guyana,895670000.0,3282000000.0,243000000.0,402000000.0,696000000.0,3021000000.0,31000000.0,0.0,0.0,30000000.0,32000000.0,775222.0,3.85,-0.04,12193.6
Géorgie,607040000.0,1964000000.0,1476000000.0,405000000.0,2429000000.0,3070000000.0,22000000.0,51000000.0,5000000.0,61000000.0,61000000.0,4008716.0,-3.8,-0.37,13589.7
Haïti,447240000.0,6150000000.0,1752000000.0,10000000.0,4907000000.0,7689000000.0,9000000.0,89000000.0,-8910000.0,98000000.0,98000000.0,10982366.0,15.66,-0.67,3187.8
Honduras,471570000.0,14050000000.0,1861000000.0,2717000000.0,4444000000.0,13264000000.0,193000000.0,12000000.0,1000000.0,205000000.0,205000000.0,9429013.0,20.75,-0.56,5447.7
Hongrie,765790000.0,27417000000.0,4055000000.0,14484000000.0,7458000000.0,17707000000.0,493000000.0,58000000.0,1000000.0,246000000.0,266000000.0,9729823.0,-2.94,0.81,29501.1
Inde,530810000.0,10716000000.0,2665000000.0,852500000.0,6142500000.0,11936500000.0,70000000.0,0.0,4000000.0,99500000.0,100000000.0,9757833.0,13.14,-0.76,6112.1
Indonésie,567090000.0,10716000000.0,2665000000.0,852500000.0,6142500000.0,11936500000.0,70000000.0,1000000.0,0.0,99500000.0,100000000.0,9757833.0,13.89,-0.5,10941.9
Iran (République islamique d'),750670000.0,10716000000.0,17640000000.0,7122000000.0,6142500000.0,11936500000.0,70000000.0,6000000.0,1000000.0,99500000.0,100000000.0,9757833.0,13.09,-0.93,15163.3
Iraq,378590000.0,6733000000.0,11033000000.0,151000000.0,14219000000.0,17682000000.0,96000000.0,16000000.0,0.0,561000000.0,566000000.0,37552781.0,34.54,-2.31,9976.9
Irlande,980920000.0,13790000000.0,7593000000.0,9388000000.0,4663000000.0,11303000000.0,110000000.0,99000000.0,1000000.0,123000000.0,128000000.0,4753279.0,9.91,1.0,13584.2
Islande,983540000.0,1710000000.0,296000000.0,1445000000.0,323000000.0,538000000.0,10000000.0,2000000.0,0.0,10000000.0,10000000.0,334393.0,9.57,1.35,55638.5
Israël,881740000.0,6978000000.0,6630000000.0,1275000000.0,7267000000.0,11964000000.0,629000000.0,0.0,3000000.0,556000000.0,636000000.0,8243848.0,20.4,-0.89,39121.3
Italie,942080000.0,10716000000.0,2665000000.0,852500000.0,6142500000.0,11936500000.0,70000000.0,97000000.0,1000000.0,99500000.0,100000000.0,60673701.0,3.28,0.31,41581.1
Jamaïque,679670000.0,2935000000.0,1260000000.0,184000000.0,1983000000.0,3966000000.0,128000000.0,31000000.0,1000000.0,149000000.0,152000000.0,2920848.0,5.51,0.31,9984.6
Japon,578970000.0,61392000000.0,2665000000.0,1689000000.0,6142500000.0,11936500000.0,70000000.0,16000000.0,10000000.0,99500000.0,100000000.0,9757833.0,-0.77,1.11,41444.2
Jordanie,490400000.0,3215000000.0,4542000000.0,892000000.0,4800000000.0,7120000000.0,210000000.0,64000000.0,10000000.0,275000000.0,275000000.0,9785843.0,12.85,-0.45,9629.1
Kazakhstan,940260000.0,42042000000.0,3698000000.0,10329000000.0,17001000000.0,36429000000.0,171000000.0,174000000.0,6000000.0,330000000.0,331000000.0,18080019.0,15.14,0.03,24863.0
Kenya,459710000.0,26467000000.0,7290000000.0,1369000000.0,23090000000.0,31394000000.0,35000000.0,0.0,0.0,34000000.0,35000000.0,50221142.0,29.75,-1.13,4312.9
Kirghizistan,814130000.0,7958000000.0,934000000.0,274000000.0,5037000000.0,8605000000.0,7000000.0,25000000.0,0.0,19000000.0,32000000.0,6189733.0,19.39,-0.38,5046.7
Kiribati,627940000.0,367000000.0,29000000.0,98000000.0,70000000.0,294000000.0,1000000.0,1000000.0,-17980000.0,2000000.0,2000000.0,114158.0,18.27,0.88,1962.3
Koweït,687970000.0,816000000.0,3575000000.0,576000000.0,2788000000.0,3743000000.0,56000000.0,137000000.0,4000000.0,188000000.0,189000000.0,4056099.0,12.85,-0.05,50007.3
Lesotho,386040000.0,507000000.0,476000000.0,44000000.0,806000000.0,886000000.0,2000000.0,15000000.0,0.0,17000000.0,17000000.0,2091534.0,5.27,-0.19,2571.7
Lettonie,939800000.0,5291000000.0,2513000000.0,4474000000.0,1829000000.0,3161000000.0,33000000.0,43000000.0,20000000.0,41000000.0,41000000.0,1951097.0,-11.24,0.46,28673.6
Liban,615500000.0,3205000000.0,3226000000.0,677000000.0,4198000000.0,5831000000.0,64000000.0,13000000.0,4000000.0,73000000.0,73000000.0,6819373.0,43.04,-1.63,17808.1
